date_time,shop_name,sold_count,favorites,review_score,review_count,listing_active_count
2022-08-31 05:00:02.840665,JoyOfPlants,14645,6388,4.8647,1929,211
2022-08-31 05:00:03.163519,TWPTropical,12534,8188,4.6326,675,0
2022-08-31 05:00:03.400933,Botanicaz,46786,25045,4.907,8082,484
2022-08-31 05:00:03.598479,YourPlantBitch,10703,2738,4.3069,1473,294
2022-08-31 05:00:03.848827,PremierAesthetic,414,220,4.8659,179,65
2022-08-31 05:00:04.090066,PlantedPortland,12523,4032,4.7497,5106,160
2022-08-31 05:00:04.329464,MyPlantObsession,61529,9712,4.9031,4893,189
2022-08-31 05:00:04.566102,305Greenery,829,998,4.8871,248,302
2022-08-31 05:00:04.794081,WellspringGardens,72239,10498,4.7051,3116,243
2022-08-31 05:00:05.042033,VerdantLyfe,788,245,4.8667,120,163
2022-08-31 05:00:05.247127,coollectiveplants,5712,1735,4.8747,1277,56
2022-08-31 05:00:05.464466,HirtsGardens,302913,42446,4.8334,18970,872
2022-08-31 05:00:05.695533,lazygardens,30480,6387,4.9202,927,188
2022-08-31 05:00:05.922590,FloridaPlantsGardens,84439,16081,4.8566,8577,174
2022-08-31 05:00:06.355735,TheGreenEscape,107515,22491,4.8423,26733,510
2022-08-31 05:30:02.203339,NurseryRx,1285,1198,4.9464,597,25
2022-08-31 05:30:02.438356,JoyOfPlants,14645,6388,4.8647,1929,211
2022-08-31 05:30:02.672478,TWPTropical,12534,8188,4.6326,675,0
2022-08-31 05:30:02.901470,Botanicaz,46786,25045,4.907,8082,484
2022-08-31 05:30:03.136593,YourPlantBitch,10703,2738,4.3069,1473,294
2022-08-31 05:30:03.387952,PremierAesthetic,414,220,4.8659,179,65
2022-08-31 05:30:03.623245,PlantedPortland,12524,4034,4.7497,5106,160
2022-08-31 05:30:03.867413,MyPlantObsession,61529,9712,4.9031,4894,189
2022-08-31 05:30:04.117340,305Greenery,829,998,4.8871,248,302
2022-08-31 05:30:04.352878,WellspringGardens,72239,10499,4.7051,3116,243
2022-08-31 05:30:04.609323,VerdantLyfe,788,245,4.8667,120,163
2022-08-31 05:30:04.850460,coollectiveplants,5712,1735,4.8747,1277,56
2022-08-31 05:30:05.107545,HirtsGardens,302944,42446,4.8334,18967,871
2022-08-31 05:30:05.340608,lazygardens,30480,6387,4.9202,927,188
2022-08-31 05:30:05.558038,FloridaPlantsGardens,84439,16081,4.8566,8577,174
2022-08-31 05:30:05.880001,TheGreenEscape,107515,22492,4.8423,26733,508
